account.continue	Continue
dash.total_outstanding	Total outstanding
dash.unregistered	UNREGISTERED
dash.write_off_action	Write off
dash.write_off_msg	Mark {name}\\'s debt as bad debt?
dash.write_off_title	Write off as loss
detail.advanced_details	ADVANCED DETAILS
detail.call_supplier_cta	Call supplier
detail.could_not_call	Could not start the phone call
detail.delete_confirm	Are you sure you want to permanently delete this record from the system? This action cannot be undone.
detail.delete_title	Delete Record?
detail.no_phone_set	No phone number set
detail.no_supplier_phone	No phone number is set for this supplier
detail.notes	NOTES
detail.quality_grade	QUALITY GRADE
detail.supplier_info	SUPPLIER INFO
detail.tax_config	TAX CONFIGURATION
dt.step_done	Done
expense.add	Add an expense
expense.committed	Committed
expense.erase_outflow	ERASE OUTFLOW
expense.erased_success	Expense Erased
expense.failed_to_save	Failed to save expense
expense.funds_recovered	Funds Recovered
expense.inventory_loss	Inventory Loss
expense.modified_success	Expense Modified
expense.modify_outflow	MODIFY OUTFLOW
expense.no_pulse	No spending pulse detected
expense.no_records	No records found.
expense.overall_loss	Total Overall Loss
expense.recent_trans	Recent Transactions
expense.select_category	Please select a category
expense.total_expense	Total Expense
expense.transactions	Transactions
expense.upcoming_payments	Upcoming Payments
expense.validation_amount	Amount
expense.validation_name	Description / Payee
expense.view_list	View all expenses
inv.bags_left	bags left
inv.category_title	Category
inv.empty_subtitle	Add items or change filters
inv.expires_in	Expires in {days}
inv.minutes_ago	{count}m ago
inv.no_items_found	No items found
inv.none_left	None Left
inv.order_date	Date: {date}
inv.order_item_name	Item Name
inv.order_notes	Notes
inv.order_quantity	Order Quantity
inv.order_total_items	Total Items: {count}
inv.product_order_list	Product Order List
inv.sort_title	Sort By
inventory.asset_valuation	Live Asset Valuation
inventory.base_cost	Base Cost
inventory.base_price	Base Price
inventory.base_unit	Base Unit
inventory.category_stock	Stock by Category
inventory.company_name	Company Name
inventory.days_ago	days ago
inventory.days_left	days left
inventory.days_remaining	Days Remaining
inventory.failed_to_save	Failed to save item
inventory.fast_moving	Fast Moving
inventory.is_credit	Credit Purchase
inventory.low_stock	Low Stock Items
inventory.no_items	No items in inventory.
inventory.pack_purchase_price	Pack Purchase Price
inventory.pack_selling_price	Pack Selling Price
inventory.purchase_unit	Purchase Unit
inventory.quality_grade	Quality Grade
inventory.recent_added	Recent Added Items
inventory.slow_moving	Slow Moving
inventory.supplier_account	Supplier Account
inventory.supplier_call	Supplier Call Enabled
inventory.supplier_phone	Supplier Phone
inventory.total_packs	Total Packs
inventory.units_per_pack	Units Per Pack
notif.active	Active
notif.cancel	Cancel
notif.cleared	All notifications cleared
notif.critical	Critical
notif.debt_msg	{name} settlement outstanding ({amount} Birr)
notif.deficit_alert	Deficit Alert
notif.exposure_warning	Exposure Warning
notif.low_stock_msg	{name} capacity dropping ({qty} units remaining)
notif.mark_complete_confirm	Mark this reminder as complete?
notif.marked_read	All notifications marked as read
notif.open_settings	Open Settings → Subscription
notif.priority	Priority
notif.reminder_completed	Reminder completed
notif.reminder_removed	Reminder removed
notif.remove_confirm	Are you sure you want to remove this reminder?
notif.remove_reminder	Remove
notif.snooze_15	Snooze 15 min
notif.snooze_week	Snooze Next week
notif.snoozed_for	Reminder snoozed for {minutes} minutes
notif.status	Status
notif.status_read	Read
notif.status_resolved	Resolved
notif.status_unread	Unread
notif.subscription_renew	Renew your subscription in Settings → License.
notif.supplier_call_msg	Price changed for {name} this week. Confirm the new price with the supplier.
notif.supplier_price_down	Price went down
notif.supplier_price_up	Price went up
notif.test_popup	Test Pop-up
notif.test_push	Test Push
notif.weekly_supplier_alerts	Weekly supplier alerts
notif.weekly_supplier_alerts_desc	Get reminded to call the supplier when item prices change
sale.invalid_phone	Invalid Phone
sale.invalid_phone_msg	Please enter a valid phone number (7-20 digits).
sale.invalid_total	Invalid total amount. Check discount and VAT values.
sale.save_error	Failed to save sale. Please check item data and try again.
sales.activity_credit	On Credit
sales.activity_full	Full Payment
sales.activity_partial	Partial Payment
sales.batch_transaction	Batch Transaction
sales.checkout_msg	The checkout has been completed and stock has been updated.
sales.confirm_action	Confirm
sales.confirm_full_title	Confirm Full Payment
sales.delete_batch_confirm	Delete all items in this batch?
sales.failed_msg	Failed to record the sale.
sales.items_purchased	Items Purchased
sales.no_payment_data	No payment data available
sales.no_peak_data	No sales data available yet
sales.no_sales	No recent sales
sales.no_sales_period	No sales recorded for this period
sales.payment_debt	Debt
sales.payment_items	Paid {count} item(s).
sales.payment_methods_modal	Payment Methods
sales.payment_paid	Paid
sales.payment_processed	Payment Processed
sales.payment_subtitle	Breakdown by transaction volume
sales.peak_sales_hours	Peak Sales Hours
sales.peak_subtitle	Top hours ranked by transaction count
sales.process_return	Process Return
sales.return_for	Process a return for {itemName}
sales.return_item	Return Item
sales.return_max	Max: {qty} {unit}
sales.return_processed	Return Processed
sales.return_quantity	Quantity to Return
sales.return_reason_label	Reason for Return
sales.return_success	{qty} {unit} of {itemName} has been returned to inventory.
sales.sale	sale
sales.sale_error	Error
sales.sale_success	Sale Successful
sales.sales_plural	sales
sales.stat_method	Method
sales.stat_owed	Owed
sales.total_revenue	Total Revenue
sales.transactions_count	{count} transactions
sales.units_sold	{count} units sold
sales.unknown_method	Unknown
sales.view_sales	View Sales
screen.activity_ledger	Activity Ledger
screen.add_expense	Add Expense
screen.add_inventory_item	Add Inventory Item
screen.adjustment	Adjustment
screen.adjustment_history	Adjustment History
screen.budget	Budget
screen.collect_payments	Collect Payments
screen.contact_details	Contact Details
screen.contacts	Contacts
screen.create_budget	Create Budget
screen.create_order	Create Order
screen.damaged_item	Damaged Item
screen.dashboard	Dashboard
screen.debt_management	Debt Management
screen.debt_records	Debt Records
screen.expense	Expense
screen.expense_details	Expense Details
screen.expense_loss	Expense Loss
screen.expense_records	Expense Records
screen.inventory	Inventory
screen.inventory_records	Inventory Records
screen.item_details	Item Details
screen.low_stock_items	Low Stock Items
screen.notifications	Notifications
screen.on_credit_list	On Credit List
screen.order_details	Order Details
screen.orders	Orders
screen.pending_sales	Pending Sales
screen.price_decrease	Price Decrease
screen.price_increase	Price Increase
screen.record_sale	Record Sale
screen.reminder_history	Reminder History
screen.sale_details	Sale Details
screen.sales_hub	Sales Hub
screen.sales_records	Sales Records
screen.settings	Settings
screen.summary	Summary
screen.warehouse_manager	Warehouse Manager
search.business	business
search.damaged	Damaged
search.expense_id	Expense
search.monthly	monthly
search.paid	Paid
search.pcs	pcs
search.price_down	Price Down
search.price_up	Price Up
search.sale_id	Sale
search.uncategorized	Uncategorized
security.authenticate_to	Authenticate to {action}
security.biometrics	Biometrics
security.biometrics_desc	Allow fingerprint or Face ID to unlock the app.
security.biometrics_enabled	Biometrics enabled successfully.
security.biometrics_off	Biometrics Disabled
security.biometrics_on	Biometrics Enabled
security.change_pin	Change PIN
security.confirm_pin	Confirm PIN
security.current_pin	Current PIN
security.disable_biometrics	disable biometrics
security.enable_biometrics	enable biometrics
security.enter_current_pin	Enter your current PIN to remove it.
security.generate_recovery	Generate Recovery Code
security.identity_failed	Identity verification failed.
security.new_pin	New PIN
security.pin.confirm	Confirm PIN
security.pin.new	New Pin
security.recovery_active	Recovery code is set
security.recovery_code	Recovery Code
security.recovery_desc	Used to regain access if you forget your PIN.
security.recovery_none	No recovery code set
security.recovery_shown_once	Save this code securely. It will only be shown once.
security.regenerate_recovery	Regenerate Recovery Code
security.remove_pin	Remove PIN
security.set_pin	Set PIN
security.verify_identity	Verify Identity
security.your_new_code	Your New Recovery Code
settings.account	Account Settings
settings.credit_debt	Credit & Debt
settings.credit_status	Credit Status
settings.credit_status_desc	Notify when new credit sales are made
settings.daily_summary	Daily Summary
settings.daily_summary_desc	End-of-day report and KPI overview
settings.danger_zone	Danger Zone
settings.date_time_desc	Configure how dates and times appear throughout the app.
settings.debt_status	Debt Status
settings.debt_status_desc	Notify when outstanding debt is overdue
settings.expiration_status	Expiration Status
settings.expiration_status_desc	Notify when items are close to expiry
settings.lang_note	Changing language updates labels instantly.
settings.pin_invalid	PIN must be 4 digits.
settings.pin_mismatch	PINs do not match.
settings.remove_desc	Enter current PIN above to remove protection.
settings.stock_shortage_desc	Notify when items fall below threshold
settings.support_availability	Mon-Fri, 9am - 6pm
settings.time_device_preview	Device preview
settings.time_ethiopian_preview	Ethiopian preview
subscription.feature_ai_benefit_0	Smart recommendations
subscription.feature_ai_benefit_1	Business insights
subscription.feature_ai_benefit_2	Save time
subscription.feature_ai_desc	Get intelligent insights and recommendations for your business.
subscription.feature_biometrics_benefit_0	Fast access
subscription.feature_biometrics_benefit_1	Enhanced security
subscription.feature_biometrics_benefit_2	Modern convenience
subscription.feature_biometrics_desc	Secure the app with fingerprint or face unlock.
subscription.feature_budget_benefit_0	Plan your spending
subscription.feature_budget_benefit_1	Stay on track
subscription.feature_budget_benefit_2	Reduce waste
subscription.feature_budget_desc	Create and manage budgets for your business.
subscription.feature_csv_export	CSV Export
subscription.feature_csv_export_benefit_0	Data portability
subscription.feature_csv_export_benefit_1	Backup your records
subscription.feature_csv_export_benefit_2	Analyze in spreadsheets
subscription.feature_csv_export_desc	Export your business data to CSV format.
subscription.feature_csv_import	CSV Import
subscription.feature_csv_import_benefit_0	Bulk data import
subscription.feature_csv_import_benefit_1	Save time on data entry
subscription.feature_csv_import_benefit_2	Migrate from other tools
subscription.feature_csv_import_desc	Import inventory and sales data from CSV files.
subscription.feature_dashboard_benefit_0	Real-time business insights
subscription.feature_dashboard_benefit_1	Visual performance metrics
subscription.feature_dashboard_benefit_2	Quick decision making
subscription.feature_dashboard_desc	Get a complete overview of your business at a glance.
subscription.feature_debt_benefit_0	Track owed amounts
subscription.feature_debt_benefit_1	Automate reminders
subscription.feature_debt_benefit_2	Improve cash flow
subscription.feature_debt_desc	Manage customer debts and payment tracking.
subscription.feature_expense_benefit_0	Better financial control
subscription.feature_expense_benefit_1	Understand profits
subscription.feature_expense_benefit_2	Smarter spending
subscription.feature_expense_desc	Track all business expenses and understand where your money goes.
subscription.feature_health_benefit_0	Overall business view
subscription.feature_health_benefit_1	Identify risks early
subscription.feature_health_benefit_2	Track improvement
subscription.feature_health_desc	Monitor your business health with a comprehensive score.
subscription.feature_multi_warehouse_benefit_0	Track all locations
subscription.feature_multi_warehouse_benefit_1	Optimize stock distribution
subscription.feature_multi_warehouse_benefit_2	Full inventory visibility
subscription.feature_multi_warehouse_desc	Manage inventory across multiple warehouse locations.
subscription.feature_orders_benefit_0	Streamline ordering
subscription.feature_orders_benefit_1	Track fulfillment
subscription.feature_orders_benefit_2	Better customer service
subscription.feature_orders_desc	Manage customer orders from placement to fulfillment.
subscription.feature_pdf_benefit_0	Professional receipts
subscription.feature_pdf_benefit_1	Easy record keeping
subscription.feature_pdf_benefit_2	Share with customers
subscription.feature_pdf_desc	Download and share professional PDF receipts.
subscription.feature_purchase_orders_benefit_0	Simplify procurement
subscription.feature_purchase_orders_benefit_1	Track supplier orders
subscription.feature_purchase_orders_benefit_2	Manage inventory
subscription.feature_purchase_orders_desc	Create and manage purchase orders for suppliers.
subscription.feature_reports_benefit_0	Track business performance
subscription.feature_reports_benefit_1	Make data-driven decisions
subscription.feature_reports_benefit_2	Identify growth opportunities
subscription.feature_reports_desc	Generate detailed business reports and analytics.
subscription.feature_suppliers_benefit_0	Never miss a payment
subscription.feature_suppliers_benefit_1	Maintain good relationships
subscription.feature_suppliers_benefit_2	Avoid late fees
subscription.feature_suppliers_desc	Get reminders for supplier credit payments.
subscription.feature_themes_benefit_0	Personalized experience
subscription.feature_themes_benefit_1	Professional look
subscription.feature_themes_benefit_2	Visual appeal
subscription.feature_themes_desc	Customize the app appearance with premium themes.
subscription.footer_no_charges	No charges. Cancel anytime during trial.
subscription.telebirr_account_name	Shega Business
subscription.upgrade_to_premium	Unlock Premium
summary.financial_summary	Financial Summary
summary.from_yesterday	from yesterday
summary.items_sold	Total Sales
support.assistance	Assistance
support.banner_text	Our elite support analysts typically respond within 12 standard operating hours.
support.cloud_sync	Cloud-Sync Active • Secure Encryption Enabled
support.concierge	Executive Concierge
support.direct_support	Direct System Support
support.email_channel	E-MAIL CHANNEL
support.orchestration	InvPro Orchestration
support.priority_voice	Priority Voice Support
support.voice_hours	Available 09:00 - 18:00 (GMT+3)
support.voice_terminal	VOICE TERMINAL
translation.global_hub	Global Hub
translation.localization	Localization
translation.preview_desc	System orchestration mapped to current script
translation.preview_label	LOCALIZATION PREVIEW
translation.schema_notice	Selecting a new schema will re-orchestrate the entire application UI terminology.
translation.selection_heading	SELECT LINGUISTIC SCHEMA
trial.banner_compact	Premium Trial
trial.banner_title	Premium Trial
tutorial.action_done	\u2713 Done!
tutorial.action_scroll	Scroll the highlighted area
tutorial.action_swipe	Swipe the highlighted area
tutorial.action_tap	Tap the highlighted element
tutorial.action_type	Type in the highlighted field
tutorial.activity-ledger.steps.activity-ledger.desc	This is your business activity feed — every transaction, adjustment, and event recorded in chronological order.
tutorial.activity-ledger.steps.activity-ledger.title	Activity Ledger
tutorial.activity-ledger.steps.al-feed.desc	Every action is listed here: sales, expenses, inventory changes, price adjustments, and payments received.
tutorial.activity-ledger.steps.al-feed.title	Activity Feed
tutorial.activity-ledger.steps.al-filter.desc	Filter by activity type (sales, expenses, inventory, payments) or date range to find specific events.
tutorial.activity-ledger.steps.al-filter.title	Filter Activity
tutorial.activity-ledger.subtitle	View all business activity
tutorial.activity-ledger.title	Activity Ledger
tutorial.add-order-item.steps.add-order-item.desc	Follow these steps to add a product to your purchase order. You can search for existing inventory items or enter custom details.
tutorial.add-order-item.steps.add-order-item.title	Adding an Order Item
tutorial.add-order-item.steps.aoi-commit.desc	Tap to add this item to your purchase order. You can add multiple items before submitting the complete order.
tutorial.add-order-item.steps.aoi-commit.title	Add to Order
tutorial.add-order-item.steps.aoi-company.desc	Enter the supplier or company name for this item. This is useful for tracking which vendor supplies the product.
tutorial.add-order-item.steps.aoi-company.title	Supplier / Company
tutorial.add-order-item.steps.aoi-name.desc	Enter the name of the product you want to order. If it exists in inventory, it will auto-fill details.
tutorial.add-order-item.steps.aoi-name.title	Item Name
tutorial.add-order-item.steps.aoi-quantity.desc	Enter the quantity you want to order. This will be added to the order summary and tracked against the supplier.
tutorial.add-order-item.steps.aoi-quantity.title	Order Quantity
tutorial.add-order-item.subtitle	Add products to a purchase order
tutorial.add-order-item.title	Add Order Item
tutorial.adjustment.steps.adj-ledger.desc	All past adjustments are recorded here. View the audit trail with timestamps, previous and new values, and reasons for each change.
tutorial.adjustment.steps.adj-ledger.title	Calibration Ledger
tutorial.adjustment.steps.adj-stats.desc	Track monthly corrections, capital leakage from damaged items, and stock integrity scores to monitor inventory health.
tutorial.adjustment.steps.adj-stats.title	Integrity Statistics
tutorial.adjustment.steps.adj-types.desc	Choose from three types: Price Increase, Price Decrease, or Damaged Items. Each type creates a permanent record for auditing.
tutorial.adjustment.steps.adj-types.title	Adjustment Types
tutorial.adjustment.steps.adjustment.desc	Make corrections to your inventory — price changes, damaged item logging, and stock corrections. All adjustments are recorded in an immutable audit trail.
tutorial.adjustment.steps.adjustment.title	Adjustments Hub
tutorial.adjustment.subtitle	Manage price and stock changes
tutorial.adjustment.title	Adjustments
tutorial.adjustment-history.steps.adjustment-history.desc	View the complete history of all price changes, stock adjustments, and damaged item records.
tutorial.adjustment-history.steps.adjustment-history.title	Adjustment History
tutorial.adjustment-history.steps.ah-filter.desc	Filter by adjustment type (price increase, decrease, damaged, stock correction) or by date range.
tutorial.adjustment-history.steps.ah-filter.title	Filter Adjustments
tutorial.adjustment-history.steps.ah-list.desc	Each entry shows the item name, adjustment type, old and new values, reason, and the user who made the change.
tutorial.adjustment-history.steps.ah-list.title	Adjustment Entries
tutorial.adjustment-history.subtitle	Review all price and stock adjustments
tutorial.adjustment-history.title	Adjustment History
tutorial.budget.steps.bud-categories.desc	View spending by category. Each category shows planned vs actual spend. Tap to drill down for detailed analysis.
tutorial.budget.steps.bud-categories.title	Category Breakdown
tutorial.budget.steps.bud-create.desc	Tap to create a new budget. Set a name, type (business, department, project), period (monthly, quarterly, yearly), and allocate amounts by category.
tutorial.budget.steps.bud-create.title	Create a Budget
tutorial.budget.steps.budget.desc	Create and manage budgets for your business. Track planned vs actual spending across categories, departments, or projects.
tutorial.budget.steps.budget.title	Budget Dashboard
tutorial.budget.steps.bud-overview.desc	See your total budget, spending to date, and remaining balance. The health indicator shows if you\\'re on track, near limit, or over budget.
tutorial.budget.steps.bud-overview.title	Budget Overview
tutorial.budget.steps.bud-trends.desc	Track your budget performance over time. See monthly trends and forecast future spending based on historical patterns.
tutorial.budget.steps.bud-trends.title	Monthly Trends
tutorial.budget.subtitle	Plan and track spending
tutorial.budget.title	Budget Management
tutorial.close	Close
tutorial.collect-payments.steps.collect-payments.desc	Use this screen to receive payments from customers for credit sales or orders. Follow the steps to record a payment.
tutorial.collect-payments.steps.collect-payments.title	Collect Payment
tutorial.collect-payments.steps.cp-amount.desc	Enter the amount being paid. The system shows the remaining balance after this payment.
tutorial.collect-payments.steps.cp-amount.title	Payment Amount
tutorial.collect-payments.steps.cp-commit.desc	Review the payment details and confirm. The customer\\'s balance is updated and the transaction is recorded.
tutorial.collect-payments.steps.cp-commit.title	Complete Payment
tutorial.collect-payments.steps.cp-customer.desc	Search for the customer making the payment. Select them to see their outstanding balance and due items.
tutorial.collect-payments.steps.cp-customer.title	Select Customer
tutorial.collect-payments.steps.cp-items.desc	Choose which items or invoices the customer is paying for. You can pay partially or in full for each item.
tutorial.collect-payments.steps.cp-items.title	Select Items to Pay
tutorial.collect-payments.steps.cp-method.desc	Select how the customer is paying — cash or digital bank transfer. The payment method is recorded for reconciliation.
tutorial.collect-payments.steps.cp-method.title	Payment Method
tutorial.collect-payments.subtitle	Receive payments from customers
tutorial.collect-payments.title	Collect Payments
tutorial.complete_desc	You\\'ve completed the {name} tutorial.
tutorial.complete_title	Tutorial Complete!
tutorial.contact-details.steps.cd-actions.desc	Edit contact details, record a sale, or collect payment directly from this screen.
tutorial.contact-details.steps.cd-actions.title	Actions
tutorial.contact-details.steps.cd-balance.desc	Any outstanding credit balance for this contact. Track what they owe and when payments are due.
tutorial.contact-details.steps.cd-balance.title	Outstanding Balance
tutorial.contact-details.steps.cd-info.desc	View name, phone numbers, account number, category, and notes about this contact. Tap to call or message.
tutorial.contact-details.steps.cd-info.title	Contact Information
tutorial.contact-details.steps.contact-details.desc	This screen shows all information about a contact — personal details, transaction history, and outstanding balances.
tutorial.contact-details.steps.contact-details.title	Contact Profile
tutorial.contact-details.subtitle	View and manage a contact
tutorial.contact-details.title	Contact Details
tutorial.contacts.steps.con-add.desc	Tap to add a new contact. Enter their name, phone number, email, and notes. Assign them as customer, supplier, or partner.
tutorial.contacts.steps.con-add.title	Add a Contact
tutorial.contacts.steps.con-list.desc	All your contacts displayed here. Search by name or phone, tap to view details, call directly, or send a WhatsApp message.
tutorial.contacts.steps.con-list.title	Contact List
tutorial.contacts.steps.con-search.desc	Find any contact instantly by typing their name or phone number.
tutorial.contacts.steps.con-search.title	Search Contacts
tutorial.contacts.steps.contacts.desc	Store and manage all your business contacts — customers, suppliers, and partners. Quick access to call, message, and track interactions.
tutorial.contacts.steps.contacts.title	Business Contacts
tutorial.contacts.subtitle	Manage your business network
tutorial.contacts.title	Contacts
tutorial.create-budget.steps.cb-categories.desc	Add spending categories and allocate amounts to each. For example: rent, utilities, supplies. Each category gets its own limit.
tutorial.create-budget.steps.cb-categories.title	Budget Categories
tutorial.create-budget.steps.cb-commit.desc	Review your budget settings and confirm. The budget will be active immediately and track expenses in real-time.
tutorial.create-budget.steps.cb-commit.title	Save Budget
tutorial.create-budget.steps.cb-name.desc	Give your budget a clear name (e.g., "Monthly Operations", "Q1 Marketing"). This helps identify the budget in reports.
tutorial.create-budget.steps.cb-name.title	Budget Name
tutorial.create-budget.steps.cb-period.desc	Set the period — daily, weekly, monthly, quarterly, or yearly. The system will track spending against this period.
tutorial.create-budget.steps.cb-period.title	Budget Period
tutorial.create-budget.steps.cb-type.desc	Choose the budget type — business-wide, department-specific, or project-based. This determines how spending is tracked.
tutorial.create-budget.steps.cb-type.title	Budget Type
tutorial.create-budget.steps.create-budget.desc	Follow these steps to create a new budget. Budgets help you plan spending, track limits, and control costs.
tutorial.create-budget.steps.create-budget.title	Creating a Budget
tutorial.create-budget.subtitle	Set up a spending plan
tutorial.create-budget.title	Create a Budget
tutorial.create-order.steps.co-commit.desc	Review the order summary and tap the commit button to finalize. The order will appear in your orders list.
tutorial.create-order.steps.co-commit.title	Place Order
tutorial.create-order.steps.co-customer.desc	Enter the customer\\'s name. This is required for order tracking. Existing customers will auto-complete as you type.
tutorial.create-order.steps.co-customer.title	Customer Name
tutorial.create-order.steps.co-items.desc	Search and select items to add to this order. You can add multiple items with different quantities.
tutorial.create-order.steps.co-items.title	Select Items
tutorial.create-order.steps.create-order.desc	Create a new customer order by selecting items, setting quantities, and adding customer details.
tutorial.create-order.steps.create-order.title	Creating an Order
tutorial.create-order.subtitle	Place a customer order
tutorial.create-order.title	Create Order
tutorial.damaged-item.steps.damaged-item.desc	Follow these steps to record damaged, expired, or lost inventory items. This keeps your stock counts accurate.
tutorial.damaged-item.steps.damaged-item.title	Damaged Item Log
tutorial.damaged-item.steps.di-commit.desc	Review the details and confirm to record the damaged item. Your inventory count is adjusted immediately.
tutorial.damaged-item.steps.di-commit.title	Record Loss
tutorial.damaged-item.steps.di-date.desc	Set the date when the damage or loss was discovered. This is recorded in your adjustment history.
tutorial.damaged-item.steps.di-date.title	Date of Loss
tutorial.damaged-item.steps.di-item.desc	Select the item from search results. Review the current stock level before recording the loss.
tutorial.damaged-item.steps.di-item.title	Select Item
tutorial.damaged-item.steps.di-quantity.desc	Enter the quantity of items that are damaged or lost. Specify whether this is in base units or packs.
tutorial.damaged-item.steps.di-quantity.title	Damaged Quantity
tutorial.damaged-item.steps.di-reason.desc	Select the reason for the loss (damaged, expired, broken, stolen, or other). This helps track loss patterns.
tutorial.damaged-item.steps.di-reason.title	Reason
tutorial.damaged-item.steps.di-search.desc	Search for the damaged or lost item. Type its name to locate it in your inventory records.
tutorial.damaged-item.steps.di-search.title	Find Item
tutorial.damaged-item.steps.di-unit.desc	Choose the unit type — base unit or pack. Make sure this matches the quantity you entered.
tutorial.damaged-item.steps.di-unit.title	Unit Type
tutorial.damaged-item.subtitle	Record inventory damage or loss
tutorial.damaged-item.title	Log Damaged Item
tutorial.dashboard.steps.dash-activity.desc	See a live feed of everything happening in your business — sales, expenses, adjustments, and more. Tap any entry to view details.
tutorial.dashboard.steps.dash-activity.title	Recent Activity Feed
tutorial.dashboard.steps.dash-alerts.desc	Tap the bell to open your notifications — low stock items, overdue debts, deposits, and other urgent updates that need your attention.
tutorial.dashboard.steps.dash-alerts.title	Action Alerts
tutorial.dashboard.steps.dashboard.desc	This is your command center. View today\\'s revenue, profit, expenses, and sales count at a glance. The dashboard gives you a real-time snapshot of your business health.
tutorial.dashboard.steps.dashboard.title	Welcome to Your Dashboard
tutorial.dashboard.steps.dash-health.desc	Your overall business health rating based on multiple factors. A higher score means your business is performing well. Tap to see the breakdown.
tutorial.dashboard.steps.dash-health.title	Business Health Score
tutorial.dashboard.steps.dash-quick-stats.desc	At-a-glance status of low stock items, credit customers, and on-credit inventory. Tap any card to open the full list and take action.
tutorial.dashboard.steps.dash-quick-stats.title	Quick Status Cards
tutorial.dashboard.steps.dash-search.desc	Search across all your inventory, sales, expenses, and contacts from one place. Start typing to find anything instantly.
tutorial.dashboard.steps.dash-search.title	Universal Search
tutorial.dashboard.steps.dash-sidebar.desc	Tap your avatar to open the sidebar menu. From there you can access all sections: Sales, Inventory, Expenses, Settings, and more.
tutorial.dashboard.steps.dash-sidebar.title	Profile & Navigation
tutorial.dashboard.steps.dash-sparkline.desc	Swipe left or right to cycle through today\\'s Revenue, Gross Profit, Sales Count, and Expenses. The sparkline compares today against yesterday\\'s performance.
tutorial.dashboard.steps.dash-sparkline.title	Performance Metrics
tutorial.dashboard.subtitle	Master your business at a glance
tutorial.dashboard.title	Dashboard
tutorial.date-time.steps.date-time.desc	Customize how dates and times are displayed throughout the app. Choose your preferred calendar and time format.
tutorial.date-time.steps.date-time.title	Date & Time
tutorial.date-time.steps.dt-calendar.desc	Choose between Gregorian and Ethiopian calendar systems. All dates in the app will use your selection.
tutorial.date-time.steps.dt-calendar.title	Calendar Type
tutorial.date-time.steps.dt-save.desc	Save your date and time preferences. The entire app updates to reflect your chosen format.
tutorial.date-time.steps.dt-save.title	Save Settings
tutorial.date-time.steps.dt-time.desc	Select 12-hour or 24-hour time format. This affects how times appear on receipts, reports, and screens.
tutorial.date-time.steps.dt-time.title	Time Format
